player_id,player_x,team,height,weight,position,player_y,season,team_id,gp,pts,ast,reb,fgm,fga,fg_pct,min
1630173,Precious Achiuwa,Knicks,6-8,243,Forward,Precious Achiuwa,2024-25,1610612752,57,379,55,317,164,327,0.502,1170.0
203500,Steven Adams,Rockets,6-11,265,Center,Steven Adams,2024-25,1610612745,58,225,66,327,91,167,0.545,794.0
1628389,Bam Adebayo,Heat,6-9,255,Center-Forward,Bam Adebayo,2024-25,1610612748,78,1410,337,749,540,1113,0.485,2674.0
1630534,Ochai Agbaji,Raptors,6-5,215,Guard,Ochai Agbaji,2024-25,1610612761,64,667,98,242,266,534,0.498,1739.0
1630583,Santi Aldama,Grizzlies,7-0,215,Forward-Center,Santi Aldama,2024-25,1610612763,65,811,188,416,313,648,0.483,1660.0
1641725,Trey Alexander,Nuggets,6-4,185,Guard,Trey Alexander,2024-25,1610612743,24,32,11,12,13,41,0.317,117.0
1629638,Nickeil Alexander-Walker,Timberwolves,6-5,205,Guard,Nickeil Alexander-Walker,2024-25,1610612750,82,773,223,265,270,616,0.438,2073.0
1628960,Grayson Allen,Suns,6-4,198,Guard,Grayson Allen,2024-25,1610612756,64,680,137,194,219,489,0.448,1544.0
1628386,Jarrett Allen,Cavaliers,6-9,243,Center,Jarrett Allen,2024-25,1610612739,82,1103,158,798,452,640,0.706,2296.0
1630631,Jose Alvarado,Pelicans,6-0,179,Guard,Jose Alvarado,2024-25,1610612740,56,579,259,136,204,521,0.392,1366.0
203937,Kyle Anderson,Heat,6-9,230,Forward-Guard,Kyle Anderson,2024-25,0,61,357,145,206,142,303,0.469,1002.0
203507,Giannis Antetokounmpo,Bucks,6-11,243,Forward,Giannis Antetokounmpo,2024-25,1610612749,67,2036,433,798,793,1319,0.601,2289.0
1630175,Cole Anthony,Grizzlies,6-2,185,Guard,Cole Anthony,2024-25,1610612753,67,630,191,204,230,543,0.424,1234.0
1628384,OG Anunoby,Knicks,6-7,240,Forward-Guard,OG Anunoby,2024-25,1610612752,74,1332,164,358,489,1027,0.476,2706.0
1630166,Deni Avdija,Trail Blazers,6-9,240,Forward,Deni Avdija,2024-25,1610612757,72,1219,281,522,402,844,0.476,2161.0
1629028,Deandre Ayton,Trail Blazers,7-0,252,Center,Deandre Ayton,2024-25,1610612757,40,576,64,406,265,468,0.566,1206.0
